work_year,experience_level,job_title,salary_in_usd,remote_ratio,company_size
2024,MI,Data Analyst,112300,0,M
2024,MI,Data Analyst,75100,0,M
2024,SE,Machine Learning Engineer,190000,0,M
2024,SE,Machine Learning Engineer,100000,0,M
2024,MI,Data Scientist,150650,0,M
2024,MI,Data Scientist,106700,0,M
2024,SE,Data Scientist,192300,0,M
2024,SE,Data Scientist,107900,0,M
2024,SE,Data Scientist,257600,0,M
2024,SE,Data Scientist,146000,0,M
2024,SE,Data Engineer,158200,0,M
2024,SE,Data Engineer,74100,0,M
2024,SE,Data Engineer,231400,0,M
2024,SE,Data Engineer,170955,0,M
2024,MI,Data Engineer,137000,0,M
2024,MI,Data Engineer,60300,0,M
2024,MI,Data Analyst,101098,0,M
2024,MI,Data Analyst,59469,0,M
2024,SE,Machine Learning Engineer,251250,0,M
2024,SE,Machine Learning Engineer,120750,0,M
2024,SE,Data Scientist,189615,0,M
2024,SE,Data Scientist,150385,0,M
2024,MI,Data Scientist,109000,100,M
2024,MI,Data Scientist,93000,100,M
2024,MI,Data Scientist,164000,0,M
2024,MI,Data Scientist,131000,0,M
2024,SE,Data Engineer,212750,0,M
2024,SE,Data Engineer,157250,0,M
2024,SE,Machine Learning Engineer,265000,0,M
2024,SE,Machine Learning Engineer,170000,0,M
2024,SE,Data Scientist,190000,100,M
2024,SE,Data Scientist,155000,100,M
2024,SE,Data Engineer,165000,100,M
2024,SE,Data Engineer,100000,100,M
2024,MI,Data Engineer,213900,100,M
2024,MI,Data Engineer,126500,100,M
2024,SE,Machine Learning Engineer,225000,100,M
2024,SE,Machine Learning Engineer,66000,100,M
2024,SE,Machine Learning Engineer,282000,100,M
2024,SE,Machine Learning Engineer,188000,100,M
2024,MI,Data Analyst,143800,100,M
2024,MI,Data Analyst,106300,100,M
2024,MI,Data Engineer,140000,0,M
2024,MI,Data Engineer,110000,0,M
2024,SE,Data Analyst,140000,100,M
2024,SE,Data Analyst,120000,100,M
2024,MI,Data Scientist,199700,0,M
2024,MI,Data Scientist,70800,0,M
2024,SE,Machine Learning Engineer,264500,100,M
2024,SE,Machine Learning Engineer,165600,100,M
2024,MI,Data Engineer,90000,0,M
2024,MI,Data Engineer,70000,0,M
2024,SE,Data Engineer,170000,100,M
2024,SE,Data Engineer,146000,100,M
2024,SE,Machine Learning Engineer,220600,0,M
2024,SE,Machine Learning Engineer,140100,0,M
2024,SE,Data Engineer,137500,0,M
2024,SE,Data Engineer,81500,0,M
2024,SE,Data Scientist,249000,0,M
